SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_2918	4.64	2.90	4.65	10.76	2.87	2.25	0.37	6.47	4.59	10.82	10.16	5.31	4.62	3.56	1.81	4.39	8.37
SL1344_2919	4.48	2.18	3.83	8.19	4.44	1.50	0.64	5.74	3.00	8.51	7.21	4.77	4.14	2.70	1.86	4.12	6.24
SL1344_2920	2.97	1.84	3.48	6.81	2.62	0.65	1.92	4.52	3.17	8.03	5.67	3.56	2.71	1.95	2.57	3.73	6.53
SL1344_2921	2.06	1.05	4.22	8.45	0.97	0.92	1.28	4.46	3.73	13.61	7.91	3.60	2.76	2.16	2.38	2.02	7.87
SL1344_2922	2.56	1.42	2.09	5.99	2.48	0.72	1.61	2.15	2.49	7.66	4.16	2.08	1.56	1.26	0.82	1.76	4.25
SL1344_0283	5.67	4.24	3.17	3.69	4.16	1.98	5.96	4.79	4.58	10.50	2.88	5.20	3.98	4.83	3.38	4.56	6.37
SL1344_2923	3.69	0.78	2.44	7.38	3.10	0.55	2.92	2.60	5.41	19.81	7.93	1.69	1.94	1.00	1.08	1.47	4.62
SL1344_2924	7.48	5.73	101.64	249.96	14.28	4.05	19.05	5.24	6.11	5.95	21.51	56.31	14.37	7.24	12.49	8.09	3.00
SL1344_ncRNA_190	97.64	51.48	37.24	196.89	161.19	42.03	54.75	79.49	50.53	28.50	28.38	49.21	3823.72	2979.15	517.53	2576.09	28.35
SL1344_2925	2.27	1.42	1.95	41.02	2.30	1.17	1.30	3.11	0.71	1.86	2.32	1.66	219.37	85.78	28.94	176.46	4.97
SL1344_2926	3.71	3.23	3.24	68.56	2.64	2.71	4.26	4.00	2.66	2.45	4.58	4.06	338.88	172.82	96.69	326.50	9.43
SL1344_2927	2.86	1.69	2.14	48.79	3.53	1.75	3.91	3.22	1.57	1.93	3.53	2.75	251.85	98.50	41.99	311.26	9.04
SL1344_2928	70.94	40.95	17.47	10.46	5.66	55.73	5.61	49.25	6.60	5.40	9.97	10.70	48.31	28.25	7.81	17.67	17.74
SL1344_2929	8.70	7.42	9.94	15.02	8.39	5.06	9.44	13.69	16.57	35.43	16.49	8.86	8.98	6.13	7.63	10.27	20.45
SL1344_2930	80.18	70.06	49.10	42.28	29.79	79.33	81.36	89.49	45.60	63.78	56.54	54.98	53.97	62.68	26.80	43.41	81.28
SL1344_2931	568.59	325.51	256.66	329.43	19.39	274.30	198.70	447.52	276.55	216.64	257.30	229.02	511.37	366.44	126.59	203.68	368.14
SL1344_0284	2.52	0.89	0.95	1.63	2.70	0.59	1.58	1.76	1.36	1.96	1.12	1.72	1.88	0.90	1.44	1.87	2.57
SL1344_2932	309.10	218.30	161.24	141.75	17.18	222.06	143.47	322.52	130.29	128.26	136.77	140.47	265.35	170.22	96.20	146.72	259.15
SL1344_2933	25.20	20.08	23.93	32.75	14.22	13.41	23.29	40.38	15.30	27.85	25.97	30.19	25.67	16.68	15.14	20.65	92.63
SL1344_2935	138.15	164.57	112.28	96.66	62.29	145.36	363.74	135.01	137.16	355.78	151.50	89.69	96.85	135.13	270.69	120.60	101.45
SL1344_2936	146.62	184.29	134.88	123.60	87.44	140.60	394.29	193.32	167.29	365.57	156.70	114.37	116.24	143.04	227.55	141.56	133.40
SL1344_2937	57.13	59.78	58.94	64.26	4.82	30.44	26.74	114.86	55.02	64.82	56.22	73.35	62.80	99.86	85.04	64.13	205.59
SL1344_2938	61.18	60.00	70.25	76.30	21.53	37.06	50.09	118.90	79.24	154.22	71.90	88.54	66.23	139.79	164.09	68.24	233.99
SL1344_2939	13.65	12.46	12.43	12.89	3.91	8.75	6.46	17.70	14.62	23.93	18.29	11.15	11.28	10.25	5.05	11.19	12.26
SL1344_2940	6.97	4.10	7.90	9.95	6.38	2.78	7.95	9.55	8.89	87.70	12.11	7.58	6.81	5.03	4.39	11.42	13.30
SL1344_2941	4.89	3.15	6.12	5.95	3.15	2.37	2.14	5.16	4.01	145.03	5.29	4.60	4.78	3.87	3.27	5.67	9.38
SL1344_0285	2.02	0.73	1.11	0.75	2.16	0.96	0.80	1.28	0.33	0.66	0.46	0.48	1.39	0.68	0.24	0.90	2.14
SL1344_2942	4.94	2.86	5.05	4.88	4.49	1.28	2.67	5.91	4.51	139.56	4.02	3.80	3.33	2.93	1.12	3.98	8.14
SL1344_2943	5.48	1.77	3.52	3.71	6.83	1.58	2.64	2.10	6.81	168.79	1.55	2.42	2.24	1.63	0.59	2.99	5.77
SL1344_2944	109.25	106.59	74.11	69.30	13.14	105.74	183.05	239.68	247.99	94.22	56.74	80.51	145.17	68.43	48.02	75.86	113.77
SL1344_2945	44.50	36.00	25.32	22.34	4.31	39.52	49.95	77.61	73.01	26.49	18.20	22.33	41.11	22.93	10.37	16.50	20.60
SL1344_2946	45.86	32.41	24.74	22.37	2.93	47.23	12.35	39.02	21.78	9.80	8.90	13.07	25.91	12.55	3.41	8.89	20.43
SL1344_ncRNA_191	3426.41	7284.51	8216.10	6526.83	670.81	5831.17	5667.14	1493.73	7270.80	7877.98	9452.10	5505.96	3627.16	1410.62	1933.69	1188.44	679.03
SL1344_2947	130.41	118.95	73.77	33.84	4.64	112.95	92.50	108.22	46.15	39.98	35.12	52.11	111.74	63.31	9.40	29.30	61.17
SL1344_2948	30.82	30.36	24.19	26.21	5.25	16.91	20.99	44.07	33.27	35.49	19.20	22.16	25.36	14.49	18.25	16.33	15.02
SL1344_2949	35.77	46.62	66.57	93.62	8.34	32.60	54.48	94.95	134.81	143.05	60.18	58.53	58.08	36.34	37.09	58.11	108.54
SL1344_2950	144.75	408.20	394.61	327.82	6.73	98.11	87.86	869.36	533.17	231.49	90.68	93.81	9.11	3.75	2.15	2.18	30.34
SL1344_2951	115.77	291.86	267.61	221.64	11.19	81.96	60.56	546.54	415.95	94.20	51.72	66.87	10.56	7.26	3.01	6.71	17.02
SL1344_2952	25.92	24.97	20.52	13.15	5.02	23.39	14.51	37.28	16.30	12.35	15.71	16.15	17.18	12.98	2.88	14.13	12.79
SL1344_2953	3.41	1.42	2.35	6.22	2.88	0.60	1.35	2.48	2.08	2.72	3.09	1.94	1.85	1.27	0.70	1.72	2.89
SL1344_2954	1.89	0.30	2.04	5.85	3.54	0.13	2.03	1.54	1.61	4.23	1.79	1.15	1.16	0.16	0.74	0.90	4.08
SL1344_2955	1.56	0.44	1.76	3.81	4.48	0.13	1.36	1.57	3.40	10.91	0.78	0.40	0.30	0.11	0.00	0.31	3.12
SL1344_2956	2.42	0.81	1.86	5.04	2.99	0.39	0.27	2.81	2.82	5.45	1.61	0.78	0.92	0.20	0.09	0.49	4.05
SL1344_2957	2.67	1.19	2.79	6.42	3.78	0.54	0.34	3.27	2.95	6.27	1.30	0.86	1.28	0.36	0.41	0.54	3.09
SL1344_2958	2.28	2.00	4.04	9.62	3.57	1.42	1.70	3.89	3.36	12.50	4.20	1.38	1.47	1.19	0.63	2.17	4.45
SL1344_2959	9.22	18.96	26.96	28.47	2.29	8.46	9.42	73.63	34.90	26.01	9.31	9.35	14.18	5.89	2.86	6.23	9.01
SL1344_0286A	114.01	144.63	158.31	97.18	65.25	60.72	77.22	176.26	30.93	40.87	62.94	100.31	120.06	110.31	23.74	191.76	87.13
